"artistName","msPlayed","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"andré rieu",26583637,"Easy Listening",0.157,0.378,2,-14.792,1,0.0389,0.674,0.914,0.136,0.144,141.592,301320,4
"other",928683,"Hip Hop",0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,180480,4
"kk",1512907,"Filmi",0.697,0.438,8,-8.411,1,0.0289,0.397,0,0.293,0.58,117.954,241668,4
"shreya ghoshal",182582,"Filmi",0.557,0.58,6,-6.566,0,0.0429,0.589,0.000245,0.124,0.453,80.051,281658,4
"other",3666,"Other",0.451,0.496,0,-12.905,0,0.0424,0.0562,0.777,0.325,0.341,159.934,131250,4
"other",728,"Lo-Fi",0.508,0.0901,7,-22.456,1,0.0295,0.943,0.000875,0.18,0.11,70.198,224601,4
"other",18183,"Desi Pop",0.724,0.618,2,-9.007,1,0.0534,0.0533,0.704,0.0886,0.0683,100.021,191869,4
"eminem",16890,"Detroit Hip Hop",0.764,0.376,1,-12.586,1,0.571,0.887,1.92e-06,0.375,0.884,97.546,17075,4
"other",393226,"Indie",0.591,0.335,9,-8.331,0,0.0339,0.601,0,0.0976,0.293,86.448,197224,5
"other",90400,"Australian Dance",0.524,0.885,5,-3.079,1,0.037,0.0997,0,0.0708,0.395,119.954,204591,4
"khalid",177310,"Pop",0.386,0.406,11,-10.419,1,0.0425,0.832,0.0597,0.171,0.205,78.616,177413,4
"willis",465221,"Alabama Indie",0.615,0.373,6,-11.54,0,0.026,0.125,0.876,0.184,0.481,87.97,155136,4
"lauv",7718836,"Pop",0.72,0.819,1,-4.588,1,0.0362,0.0411,0,0.0606,0.898,131.99,183014,4
"other",1397613,"Other",0.807,0.887,9,-3.726,1,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,187920,4
"other",1248358,"Lo-Fi",0.601,0.556,7,-10.722,0,0.395,0.776,0.0465,0.236,0.457,80.003,147000,4
"other",198420,"Alternative Rock",0.473,0.871,9,-4.893,1,0.0456,0.0216,0,0.0525,0.47,146.975,198507,4
"other",147840,"Dutch House",0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,147840,4
